SRC,EPSG,Hemisferio,Grupo
PSAD56 / UTM zone 17N,24817,Norte,PSAD
PSAD56 / UTM zone 18N,24818,Norte,PSAD
PSAD56 / UTM zone 19N,24819,Norte,PSAD
PSAD56 / UTM zone 20N,24820,Norte,PSAD
PSAD56 / UTM zone 21N,24821,Norte,PSAD
PSAD56 / UTM zone 17S,24877,Sur,PSAD
PSAD56 / UTM zone 18S,24878,Sur,PSAD
PSAD56 / UTM zone 19S,24879,Sur,PSAD
PSAD56 / UTM zone 20S,24880,Sur,PSAD
PSAD56 / UTM zone 21S,24881,Sur,PSAD
PSAD56 / UTM zone 22S,24882,Sur,PSAD
WGS84 / UTM zone 17N,32617,Norte,WGS
WGS84 / UTM zone 18N,32618,Norte,WGS
WGS84 / UTM zone 19N,32619,Norte,WGS
WGS84 / UTM zone20N,32620,Norte,WGS
WGS84 / UTM zone 21N,32621,Norte,WGS
WGS84 / UTM zone 17S,32717,Sur,WGS
WGS84 / UTM zone 18S,32718,Sur,WGS
WGS84 / UTM zone 19S,32719,Sur,WGS
WGS84 / UTM zone 20S,32720,Sur,WGS
WGS84 / UTM zone 21S,32721,Sur,WGS
WGS84 / UTM zone 22S,32722,Sur,WGS
